,artists,genres
339,Active Child,"['art pop', 'chillwave', 'indietronica', 'metropopolis', 'shimmer pop', 'vapor soul']"
340,Ada Falcón,"['tango', 'tango cancion', 'vintage tango']"
341,Ada Moore,[]
342,Adalberto Santiago,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']"
343,Adam & The Ants,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska']"
344,Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']"
345,Adam Calhoun,"['country rap', 'military rap', 'redneck']"
346,Adam Caroll,[]
347,Adam Carroll,"['alternative country', 'new americana', 'roots americana', 'roots rock', 'texas country']"
348,Adam Chanler-Berat,[]
349,Adam Doleac,"['contemporary country', 'country pop']"
350,Adam Friedman,['la pop']
351,Adam Gontier,[]
352,Adam Gussow,['harmonica blues']
353,Adam Hicks,['post-teen pop']
354,Adam Hood,"['roots americana', 'texas country']"
355,Adam Jacobs,"['broadway', 'hollywood', 'movie tunes', 'show tunes']"
356,Adam Jensen,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']"
357,Adam K & Soha,['canadian electronic']
358,Adam Lambert,"['dance pop', 'idol', 'pop', 'post-teen pop']"
359,Adam Levine,['pop rock']
360,Adam Melchor,"['indie pop', 'new jersey indie']"
361,Adam Pascal,"['broadway', 'hollywood', 'show tunes']"
362,Adam Plack,[]
363,Adam Riegler,[]
364,Adam Sandler,"['comedy', 'comic']"
365,Adamski,"['acid house', 'hip house']"
366,Adan Chalino Sanchez,"['banda', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
367,Adan Romero,"['banda', 'deep regional mexican', 'grupera', 'norteno', 'regional mexican']"
368,Adan Sanchez,"['banda', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
369,Adelaide Van Wey,['american folk revival']
370,Adele,"['british soul', 'pop', 'uk pop']"
371,Adele Kern,[]
372,Adelina Fernandes,[]
373,Adelitas Way,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']"
374,Adelmar Borrego,[]
375,Adem,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
376,Adema,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
377,Adeva,[]
378,Adhir Bagchi,[]
379,Adiemus,['new age']
380,Adina Howard,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
381,Adinath Mangeshkar,[]
382,Adje,"['dutch hip hop', 'dutch trap pop']"
383,Admiral Bailey,"['deep ragga', 'lovers rock', 'old school dancehall', 'roots reggae']"
384,Adnia Rice,[]
385,Adolescent's Orquesta,"['latin', 'perreo', 'salsa', 'salsa venezolana', 'tropical']"
386,Adolescents,"['latin', 'perreo', 'salsa', 'salsa venezolana', 'tropical']"
387,Adolf Busch,[]
388,Adolf Stark and Aino Karelia,[]
389,Adolfo Berón,['guitarra argentina']
390,Adolfo Echeverria,[]
391,Adolph Baller,[]
392,Adolph Deutsch,['classic soundtrack']
393,Adolph Green,[]
394,Adolphe Adam,"['early romantic era', 'french opera']"
395,Adolphe Bérard,[]
396,Adrian Charras,[]
397,Adrian Delgado,[]
398,Adrian Gurvitz,['yacht rock']
399,Adrian Marcel,['deep pop r&b']
400,Adrian Zmed,[]
401,Adriana Calcanhotto,"['baile pop', 'bossa nova', 'mpb', 'nova mpb']"
